risk_customer_id,enterprise_customer_id,risk_rating,credit_score,total_exposure,delinquency_days,last_assessment
RISK-9921,ECID-00001,LOW,785,4200000,0,2026-08-01
RISK-9922,ECID-00002,HIGH,610,3100000,45,2026-08-01
RISK-9923,ECID-00003,MEDIUM,690,1800000,0,2026-08-01
RISK-9924,ECID-00004,LOW,700,500000,0,2026-08-01
RISK-15005,ECID-00005,LOW,751,353000.0,0,2026-08-01
RISK-15006,ECID-00006,LOW,794,946000.0,45,2026-08-01
RISK-15007,ECID-00007,LOW,764,3374000.0,0,2026-08-01
RISK-15008,ECID-00008,MEDIUM,728,1375000.0,0,2026-08-01
RISK-15009,ECID-00009,MEDIUM,687,2596000.0,60,2026-08-01
RISK-15010,ECID-00010,HIGH,647,2226000.0,0,2026-08-01
RISK-15011,ECID-00011,LOW,773,1058000.0,45,2026-08-01
RISK-15012,ECID-00012,LOW,747,4745000.0,0,2026-08-01
RISK-15013,ECID-00013,HIGH,611,4977000.0,0,2026-08-01
RISK-15014,ECID-00014,MEDIUM,725,1537000.0,0,2026-08-01
RISK-15015,ECID-00015,MEDIUM,667,3695000.0,0,2026-08-01
RISK-15016,ECID-00016,HIGH,581,2151000.0,0,2026-08-01
RISK-15017,ECID-00017,HIGH,597,1245000.0,0,2026-08-01
RISK-15018,ECID-00018,LOW,770,4720000.0,0,2026-08-01
RISK-15019,ECID-00019,LOW,798,4692000.0,0,2026-08-01
RISK-15020,ECID-00020,LOW,818,3406000.0,0,2026-08-01
RISK-15021,ECID-00021,MEDIUM,722,4546000.0,0,2026-08-01
RISK-15022,ECID-00022,MEDIUM,729,4206000.0,0,2026-08-01
RISK-15023,ECID-00023,LOW,759,4886000.0,0,2026-08-01
RISK-15024,ECID-00024,MEDIUM,718,1665000.0,0,2026-08-01
RISK-15025,ECID-00025,LOW,773,4820000.0,0,2026-08-01
RISK-15026,ECID-00026,MEDIUM,685,2270000.0,45,2026-08-01
RISK-15027,ECID-00027,MEDIUM,698,2830000.0,0,2026-08-01
RISK-15028,ECID-00028,HIGH,571,4128000.0,0,2026-08-01
RISK-15029,ECID-00029,MEDIUM,678,3501000.0,15,2026-08-01
RISK-15030,ECID-00030,LOW,796,4482000.0,0,2026-08-01
RISK-15031,ECID-00031,LOW,780,864000.0,0,2026-08-01
RISK-15032,ECID-00032,MEDIUM,660,1633000.0,0,2026-08-01
RISK-15033,ECID-00033,LOW,761,4907000.0,0,2026-08-01
RISK-15034,ECID-00034,LOW,793,2457000.0,0,2026-08-01
RISK-15035,ECID-00035,LOW,754,2432000.0,0,2026-08-01
RISK-15036,ECID-00036,LOW,765,3515000.0,0,2026-08-01
RISK-15037,ECID-00037,LOW,753,3251000.0,0,2026-08-01
RISK-15038,ECID-00038,MEDIUM,717,3802000.0,0,2026-08-01
RISK-15039,ECID-00039,MEDIUM,690,2151000.0,0,2026-08-01
RISK-15040,ECID-00040,MEDIUM,702,3574000.0,0,2026-08-01
RISK-15041,ECID-00041,LOW,776,1622000.0,0,2026-08-01
RISK-15042,ECID-00042,LOW,746,748000.0,0,2026-08-01
RISK-15043,ECID-00043,LOW,806,4561000.0,0,2026-08-01
RISK-15044,ECID-00044,LOW,760,2362000.0,0,2026-08-01
RISK-15045,ECID-00045,LOW,747,3056000.0,0,2026-08-01
RISK-15046,ECID-00046,MEDIUM,671,4817000.0,0,2026-08-01
RISK-15047,ECID-00047,LOW,802,1870000.0,0,2026-08-01
RISK-15048,ECID-00048,LOW,740,2184000.0,0,2026-08-01
RISK-15049,ECID-00049,LOW,760,266000.0,0,2026-08-01
RISK-15050,ECID-00050,LOW,810,1115000.0,0,2026-08-01
RISK-15051,ECID-00051,LOW,759,2525000.0,0,2026-08-01
RISK-15052,ECID-00052,MEDIUM,679,4831000.0,0,2026-08-01
RISK-15053,ECID-00053,MEDIUM,710,586000.0,0,2026-08-01
RISK-15054,ECID-00054,LOW,751,3850000.0,0,2026-08-01
RISK-15055,ECID-00055,LOW,762,4380000.0,0,2026-08-01
RISK-15056,ECID-00056,MEDIUM,714,1400000.0,0,2026-08-01
RISK-15057,ECID-00057,MEDIUM,737,2584000.0,45,2026-08-01
