loan_id,risk_customer_id,loan_type,original_amount,outstanding_amount,monthly_payment,status,payment_status
LN-90001,RISK-9921,MORTGAGE,5460000.0,4200000,50400.0,ACTIVE,CURRENT
LN-90002,RISK-9922,MORTGAGE,4030000.0,3100000,37200.0,ACTIVE,LATE
LN-90003,RISK-9923,MORTGAGE,780000.0,600000,7200.0,ACTIVE,CURRENT
LN-90004,RISK-9924,MORTGAGE,650000.0,500000,6000.0,ACTIVE,CURRENT
LN-90005,RISK-15006,MORTGAGE,3935000.0,3027000.0,36300.0,ACTIVE,CURRENT
LN-90006,RISK-15007,MORTGAGE,6614000.0,5088000.0,61100.0,ACTIVE,CURRENT
LN-90007,RISK-15008,MORTGAGE,6144000.0,4726000.0,56700.0,ACTIVE,CURRENT
LN-90008,RISK-15011,MORTGAGE,7245000.0,5573000.0,66900.0,ACTIVE,LATE
LN-90009,RISK-15012,MORTGAGE,4048000.0,3114000.0,37400.0,ACTIVE,CURRENT
LN-90010,RISK-15013,MORTGAGE,4857000.0,3736000.0,44800.0,ACTIVE,CURRENT
LN-90011,RISK-15014,MORTGAGE,4031000.0,3101000.0,37200.0,ACTIVE,CURRENT
LN-90012,RISK-15015,MORTGAGE,3957000.0,3044000.0,36500.0,ACTIVE,CURRENT
LN-90013,RISK-15016,MORTGAGE,7275000.0,5596000.0,67200.0,ACTIVE,CURRENT
LN-90014,RISK-15017,MORTGAGE,7224000.0,5557000.0,66700.0,ACTIVE,CURRENT
LN-90015,RISK-15018,MORTGAGE,2912000.0,2240000.0,26900.0,ACTIVE,CURRENT
LN-90016,RISK-15019,MORTGAGE,1598000.0,1229000.0,14700.0,ACTIVE,CURRENT
LN-90017,RISK-15026,MORTGAGE,3527000.0,2713000.0,32600.0,ACTIVE,CURRENT
LN-90018,RISK-15027,MORTGAGE,3812000.0,2932000.0,35200.0,ACTIVE,CURRENT
LN-90019,RISK-15028,MORTGAGE,4047000.0,3113000.0,37400.0,ACTIVE,CURRENT
LN-90020,RISK-15029,MORTGAGE,7210000.0,5546000.0,66600.0,ACTIVE,CURRENT
LN-90021,RISK-15030,MORTGAGE,6026000.0,4635000.0,55600.0,ACTIVE,CURRENT
LN-90022,RISK-15031,MORTGAGE,3623000.0,2787000.0,33400.0,ACTIVE,CURRENT
LN-90023,RISK-15033,MORTGAGE,6848000.0,5268000.0,63200.0,ACTIVE,CURRENT
LN-90024,RISK-15036,MORTGAGE,7684000.0,5911000.0,70900.0,ACTIVE,CURRENT
LN-90025,RISK-15038,MORTGAGE,3188000.0,2452000.0,29400.0,ACTIVE,CURRENT
LN-90026,RISK-15039,MORTGAGE,2753000.0,2118000.0,25400.0,ACTIVE,CURRENT
LN-90027,RISK-15040,MORTGAGE,6100000.0,4692000.0,56300.0,ACTIVE,CURRENT
LN-90028,RISK-15041,MORTGAGE,2739000.0,2107000.0,25300.0,ACTIVE,CURRENT
LN-90029,RISK-15044,MORTGAGE,5565000.0,4281000.0,51400.0,ACTIVE,CURRENT
LN-90030,RISK-15045,MORTGAGE,2596000.0,1997000.0,24000.0,ACTIVE,CURRENT
LN-90031,RISK-15046,MORTGAGE,937000.0,721000.0,8700.0,ACTIVE,CURRENT
LN-90032,RISK-15047,MORTGAGE,7409000.0,5699000.0,68400.0,ACTIVE,CURRENT
LN-90033,RISK-15048,MORTGAGE,4577000.0,3521000.0,42300.0,ACTIVE,CURRENT
LN-90034,RISK-15052,MORTGAGE,7159000.0,5507000.0,66100.0,ACTIVE,CURRENT
LN-90035,RISK-15054,MORTGAGE,1052000.0,809000.0,9700.0,ACTIVE,CURRENT
LN-90036,RISK-15055,MORTGAGE,2475000.0,1904000.0,22800.0,ACTIVE,CURRENT
LN-90037,RISK-15056,MORTGAGE,4759000.0,3661000.0,43900.0,ACTIVE,CURRENT
LN-90038,RISK-15057,MORTGAGE,6053000.0,4656000.0,55900.0,ACTIVE,CURRENT
LN-90039,RISK-15058,MORTGAGE,2599000.0,1999000.0,24000.0,ACTIVE,CURRENT
LN-90040,RISK-15059,MORTGAGE,1296000.0,997000.0,12000.0,ACTIVE,CURRENT
LN-90041,RISK-15062,MORTGAGE,3497000.0,2690000.0,32300.0,ACTIVE,CURRENT
LN-90042,RISK-15063,MORTGAGE,6868000.0,5283000.0,63400.0,ACTIVE,CURRENT
LN-90043,RISK-15064,MORTGAGE,1024000.0,788000.0,9500.0,ACTIVE,CURRENT
LN-90044,RISK-15066,MORTGAGE,4265000.0,3281000.0,39400.0,ACTIVE,CURRENT
LN-90045,RISK-15067,MORTGAGE,2473000.0,1902000.0,22800.0,ACTIVE,CURRENT
LN-90046,RISK-15070,MORTGAGE,3894000.0,2995000.0,35900.0,ACTIVE,CURRENT
LN-90047,RISK-15071,MORTGAGE,3117000.0,2398000.0,28800.0,ACTIVE,CURRENT
