BUKRS,BELNR,GJAHR,BLART,BLDAT,BUDAT,WAERS,XBLNR
1000,1900000000,2024,RE,2025-12-21,2025-12-21,USD,4500091410
1000,1900000001,2025,RE,2025-03-15,2025-03-16,AED,4500090219
2000,1900000002,2024,RE,2024-03-07,2024-03-10,AED,4500091503
2000,1900000003,2024,RE,2025-03-05,2025-03-10,USD,4500090485
1000,1900000004,2024,RE,2025-11-25,2025-11-26,USD,4500091452
1000,1900000005,2024,RE,2024-03-05,2024-03-09,EUR,4500091056
2000,1900000006,2025,RE,2025-11-21,2025-11-24,USD,4500091934
3000,1900000007,2025,RE,2024-03-13,2024-03-14,EUR,4500091954
3000,1900000008,2025,RE,2025-05-24,2025-05-25,EUR,4500090500
1000,1900000009,2025,RE,2024-04-17,2024-04-17,AED,4500090488
2000,1900000010,2025,RE,2024-12-08,2024-12-12,AED,4500090110
3000,1900000011,2025,RE,2025-06-29,2025-06-29,AED,4500090481
2000,1900000012,2025,RE,2025-01-16,2025-01-21,USD,4500090609
1000,1900000013,2024,RE,2024-06-05,2024-06-07,AED,4500090264
1000,1900000014,2024,RE,2024-05-17,2024-05-21,AED,4500090178
1000,1900000015,2025,RE,2025-10-18,2025-10-23,EUR,4500090963
3000,1900000016,2025,RE,2024-01-12,2024-01-13,USD,4500091765
3000,1900000017,2024,RE,2025-05-22,2025-05-24,AED,4500091319
2000,1900000018,2024,RE,2025-02-25,2025-02-27,AED,4500090265
2000,1900000019,2025,RE,2024-01-02,2024-01-02,EUR,4500090602
2000,1900000020,2024,RE,2025-01-10,2025-01-12,EUR,4500090249
2000,1900000021,2025,RE,2024-05-30,2024-06-04,USD,4500090096
1000,1900000022,2025,RE,2025-12-10,2025-12-13,AED,4500091546
1000,1900000023,2025,RE,2025-12-28,2026-01-01,EUR,4500091627
3000,1900000024,2025,RE,2025-04-09,2025-04-12,USD,4500091855
1000,1900000025,2025,RE,2025-04-20,2025-04-25,AED,4500090445
2000,1900000026,2025,RE,2025-09-21,2025-09-24,AED,4500091988
2000,1900000027,2024,RE,2024-02-09,2024-02-11,USD,4500091037
1000,1900000028,2025,RE,2025-06-06,2025-06-06,EUR,4500091514
2000,1900000029,2025,RE,2025-12-03,2025-12-03,USD,4500090232
3000,1900000030,2025,RE,2024-09-10,2024-09-15,AED,4500091490
3000,1900000031,2024,RE,2024-12-05,2024-12-09,USD,4500091648
2000,1900000032,2024,RE,2024-05-23,2024-05-23,EUR,4500091355
2000,1900000033,2024,RE,2024-08-29,2024-09-02,USD,4500091230
2000,1900000034,2024,RE,2025-02-24,2025-02-25,USD,4500090515
2000,1900000035,2025,RE,2025-04-24,2025-04-29,EUR,4500090287
