BUKRS,BELNR,GJAHR,BUZEI,BSCHL,HKONT,LIFNR,DMBTR,WRBTR,SHKZG,ZFBDT,AUGDT
1000,1900000000,2024,001,31,200000,100006,842.56,842.56,H,2025-12-21,2026-02-03
1000,1900000000,2024,002,40,450000,,842.56,842.56,S,2025-12-21,2026-02-03
1000,1900000001,2025,001,31,200000,100005,10167.19,10167.19,H,2025-03-16,2025-03-22
1000,1900000001,2025,002,40,450000,,10167.19,10167.19,S,2025-03-16,2025-03-22
2000,1900000002,2024,001,31,200000,100050,6086.31,6086.31,H,2024-03-10,2024-04-02
2000,1900000002,2024,002,40,420000,,6086.31,6086.31,S,2024-03-10,2024-04-02
2000,1900000003,2024,001,31,200000,100016,12274.24,12274.24,H,2025-03-10,2025-05-13
2000,1900000003,2024,002,40,400000,,12274.24,12274.24,S,2025-03-10,2025-05-13
1000,1900000004,2024,001,31,200000,100003,5568.69,5568.69,H,2025-11-26,2025-12-15
1000,1900000004,2024,002,40,420000,,5568.69,5568.69,S,2025-11-26,2025-12-15
1000,1900000005,2024,001,31,200000,100023,20436.99,20436.99,H,2024-03-09,2024-04-12
1000,1900000005,2024,002,40,450000,,20436.99,20436.99,S,2024-03-09,2024-04-12
2000,1900000006,2025,001,31,200000,100042,18594.74,18594.74,H,2025-11-24,2026-01-08
2000,1900000006,2025,002,40,420000,,18594.74,18594.74,S,2025-11-24,2026-01-08
3000,1900000007,2025,001,31,200000,100011,11142.65,11142.65,H,2024-03-14,
3000,1900000007,2025,002,40,460000,,11142.65,11142.65,S,2024-03-14,
3000,1900000008,2025,001,31,200000,100030,1944.19,1944.19,H,2025-05-25,
3000,1900000008,2025,002,40,430000,,1944.19,1944.19,S,2025-05-25,
1000,1900000009,2025,001,31,200000,100046,24908.53,24908.53,H,2024-04-17,2024-05-12
1000,1900000009,2025,002,40,430000,,24908.53,24908.53,S,2024-04-17,2024-05-12
2000,1900000010,2025,001,31,200000,100033,22237.78,22237.78,H,2024-12-12,2024-12-20
2000,1900000010,2025,002,40,400000,,22237.78,22237.78,S,2024-12-12,2024-12-20
3000,1900000011,2025,001,31,200000,100040,12833.9,12833.9,H,2025-06-29,
3000,1900000011,2025,002,40,460000,,12833.9,12833.9,S,2025-06-29,
2000,1900000012,2025,001,31,200000,100052,2498.45,2498.45,H,2025-01-21,
2000,1900000012,2025,002,40,400000,,2498.45,2498.45,S,2025-01-21,
1000,1900000013,2024,001,31,200000,100034,2079.91,2079.91,H,2024-06-07,
1000,1900000013,2024,002,40,480000,,2079.91,2079.91,S,2024-06-07,
1000,1900000014,2024,001,31,200000,100026,6692.41,6692.41,H,2024-05-21,2024-07-19
1000,1900000014,2024,002,40,480000,,6692.41,6692.41,S,2024-05-21,2024-07-19
1000,1900000015,2025,001,31,200000,100024,4950.69,4950.69,H,2025-10-23,2025-12-03
1000,1900000015,2025,002,40,470000,,4950.69,4950.69,S,2025-10-23,2025-12-03
3000,1900000016,2025,001,31,200000,100010,16685.55,16685.55,H,2024-01-13,2024-02-22
3000,1900000016,2025,002,40,430000,,16685.55,16685.55,S,2024-01-13,2024-02-22
3000,1900000017,2024,001,31,200000,100024,5483.52,5483.52,H,2025-05-24,
3000,1900000017,2024,002,40,440000,,5483.52,5483.52,S,2025-05-24,
2000,1900000018,2024,001,31,200000,100046,1845.32,1845.32,H,2025-02-27,
