EBELN,BUKRS,BSART,LIFNR,EKORG,EKGRP,BEDAT,WAERS,ZTERM
4500090000,2000,FO,100042,2000,001,2025-10-22,USD,0001
4500090001,1000,NB,100059,2000,003,2024-12-23,USD,0001
4500090002,3000,ZSER,100056,1000,003,2024-04-19,EUR,NT45
4500090003,1000,ZSER,100000,2000,002,2024-12-07,AED,0001
4500090004,1000,ZSER,100057,1000,001,2025-01-01,EUR,0001
4500090005,3000,ZSER,100050,1000,003,2025-02-25,USD,NT30
4500090006,3000,FO,100022,2000,001,2025-10-18,USD,NT60
4500090007,3000,NB,100027,2000,002,2025-09-12,EUR,NT30
4500090008,2000,ZSER,100025,1000,002,2025-12-14,EUR,0001
4500090009,2000,FO,100038,2000,004,2025-11-01,AED,NT45
4500090010,3000,ZSER,100029,1000,004,2025-02-28,EUR,0001
4500090011,1000,ZSER,100033,1000,001,2025-04-20,EUR,NT45
4500090012,2000,ZSER,100017,1000,003,2025-06-17,EUR,NT30
4500090013,2000,FO,100021,1000,002,2025-07-09,EUR,0001
4500090014,2000,ZSER,100019,1000,004,2025-02-03,USD,NT60
4500090015,1000,NB,100008,2000,004,2025-04-17,EUR,NT45
4500090016,1000,ZSER,100015,1000,002,2024-07-23,USD,0001
4500090017,1000,ZSER,100049,1000,002,2025-01-12,EUR,NT30
4500090018,1000,ZSER,100025,1000,001,2024-07-22,AED,NT60
4500090019,1000,ZSER,100042,2000,001,2025-01-14,EUR,0001
4500090020,2000,NB,100045,2000,004,2024-06-05,EUR,0001
4500090021,1000,FO,100031,1000,003,2024-11-28,EUR,NT60
4500090022,3000,FO,100030,2000,001,2025-10-23,USD,NT60
4500090023,2000,FO,100047,2000,003,2025-07-17,EUR,NT60
4500090024,2000,ZSER,100013,2000,001,2025-05-10,USD,NT60
4500090025,1000,ZSER,100018,2000,001,2025-12-15,USD,NT60
4500090026,1000,ZSER,100005,2000,002,2024-09-11,AED,0001
4500090027,1000,NB,100035,2000,004,2024-03-17,AED,0001
4500090028,1000,ZSER,100007,1000,003,2025-07-11,USD,NT30
4500090029,2000,NB,100058,2000,003,2024-10-22,AED,0001
4500090030,3000,NB,100053,2000,001,2025-08-12,USD,0001
4500090031,1000,FO,100025,1000,003,2025-07-17,EUR,NT60
4500090032,2000,FO,100042,1000,002,2025-07-09,AED,NT60
4500090033,1000,NB,100035,1000,004,2025-02-21,USD,NT45
4500090034,2000,NB,100021,2000,003,2025-06-03,AED,0001
4500090035,3000,FO,100044,1000,004,2024-09-01,USD,NT60
4500090036,3000,NB,100009,1000,004,2025-02-23,EUR,NT60
4500090037,3000,NB,100006,2000,002,2025-10-10,AED,NT60
4500090038,1000,NB,100023,2000,002,2025-03-17,USD,NT45
4500090039,1000,NB,100031,2000,003,2025-08-20,EUR,NT60
4500090040,2000,ZSER,100004,2000,004,2025-03-28,AED,NT60
4500090041,3000,ZSER,100049,2000,003,2024-02-20,USD,NT60
4500090042,2000,NB,100002,2000,002,2024-11-12,USD,NT60
4500090043,1000,FO,100047,1000,002,2024-12-12,USD,0001
4500090044,1000,FO,100006,1000,003,2025-11-22,AED,NT45
4500090045,1000,NB,100007,2000,004,2024-05-23,USD,NT30
4500090046,3000,NB,100056,2000,004,2025-02-28,EUR,NT30
4500090047,1000,ZSER,100054,1000,001,2025-04-10,USD,NT60
4500090048,3000,NB,100021,2000,002,2024-05-31,USD,NT60
4500090049,2000,NB,100001,1000,004,2024-06-27,AED,NT30
4500090050,3000,NB,100006,1000,003,2025-04-07,EUR,NT30
4500090051,2000,NB,100031,1000,003,2025-12-30,AED,NT45
4500090052,2000,ZSER,100045,2000,004,2024-11-28,AED,0001
4500090053,2000,FO,100046,1000,004,2024-08-08,EUR,0001
4500090054,3000,ZSER,100035,2000,001,2024-03-02,EUR,NT60
4500090055,3000,ZSER,100051,1000,003,2025-03-15,USD,NT45
4500090056,2000,NB,100026,2000,003,2025-04-09,AED,NT60
4500090057,2000,FO,100043,2000,004,2024-03-24,AED,0001
4500090058,1000,FO,100019,2000,003,2024-08-04,USD,NT30
4500090059,3000,FO,100036,2000,003,2025-03-15,USD,0001
4500090060,2000,NB,100053,2000,001,2025-12-07,USD,0001
4500090061,1000,NB,100052,1000,003,2024-05-31,USD,NT45
4500090062,3000,ZSER,100043,2000,003,2025-08-01,USD,0001
4500090063,2000,ZSER,100037,1000,003,2024-02-27,EUR,0001
4500090064,3000,ZSER,100055,2000,004,2024-04-02,AED,NT30
4500090065,3000,NB,100033,2000,003,2025-06-19,EUR,0001
4500090066,2000,FO,100042,2000,002,2024-05-24,AED,NT30
4500090067,1000,NB,100021,1000,002,2025-05-12,USD,NT60
4500090068,2000,ZSER,100002,1000,004,2025-11-08,USD,NT45
4500090069,2000,ZSER,100028,2000,002,2025-09-17,AED,NT45
4500090070,3000,NB,100052,2000,001,2024-07-23,AED,0001
4500090071,2000,FO,100005,1000,004,2024-08-15,USD,0001
4500090072,3000,NB,100058,2000,004,2025-04-28,AED,NT30
4500090073,3000,FO,100046,1000,003,2025-09-15,USD,NT60
4500090074,1000,FO,100029,1000,002,2024-03-05,AED,NT45
4500090075,3000,NB,100050,2000,004,2025-06-03,USD,0001
4500090076,2000,ZSER,100022,1000,004,2025-07-13,AED,0001
4500090077,2000,FO,100056,2000,004,2024-02-12,EUR,NT30
4500090078,3000,FO,100056,2000,003,2025-02-13,USD,0001
4500090079,2000,FO,100010,2000,001,2025-12-07,AED,NT60
4500090080,2000,ZSER,100023,1000,002,2025-01-05,AED,0001
4500090081,2000,ZSER,100031,1000,003,2025-06-14,EUR,0001
4500090082,2000,NB,100011,2000,003,2025-12-31,AED,NT30
4500090083,3000,ZSER,100001,2000,004,2025-01-04,AED,NT45
4500090084,2000,FO,100030,1000,002,2025-06-22,EUR,NT30
4500090085,1000,FO,100059,2000,001,2025-12-27,EUR,NT45
4500090086,1000,NB,100021,1000,001,2025-07-31,AED,NT60
4500090087,2000,FO,100015,2000,001,2025-12-02,AED,NT30
4500090088,2000,NB,100046,2000,001,2024-12-19,EUR,NT45
4500090089,2000,ZSER,100048,2000,004,2024-06-12,EUR,0001
4500090090,2000,NB,100013,1000,003,2025-08-20,EUR,0001
4500090091,2000,NB,100023,2000,004,2025-07-20,AED,NT60
4500090092,1000,NB,100035,2000,001,2025-01-09,USD,NT30
4500090093,2000,ZSER,100020,2000,003,2024-06-15,AED,0001
4500090094,3000,NB,100050,1000,004,2025-08-15,USD,0001
4500090095,1000,FO,100026,2000,001,2025-12-08,AED,NT45
4500090096,2000,ZSER,100021,2000,004,2025-07-13,USD,NT45
4500090097,1000,ZSER,100017,2000,004,2024-10-21,EUR,NT45
4500090098,1000,NB,100044,1000,002,2024-10-05,USD,NT45
4500090099,2000,ZSER,100059,2000,004,2024-06-10,AED,NT45
4500090100,2000,NB,100053,2000,001,2025-02-10,USD,NT60
4500090101,1000,ZSER,100033,2000,003,2025-05-20,USD,NT30
4500090102,2000,FO,100054,2000,001,2025-10-16,EUR,NT30
4500090103,3000,ZSER,100021,1000,003,2024-11-05,AED,NT60
4500090104,3000,NB,100049,2000,003,2024-11-14,AED,NT45
4500090105,3000,NB,100048,1000,001,2025-07-04,AED,0001
4500090106,2000,NB,100013,2000,001,2025-08-20,EUR,NT45
4500090107,1000,FO,100059,2000,002,2025-04-28,USD,0001
4500090108,3000,NB,100034,1000,001,2025-02-06,USD,NT60
4500090109,3000,ZSER,100002,1000,002,2025-04-02,AED,NT30
4500090110,2000,FO,100033,2000,001,2024-08-14,AED,NT45
4500090111,1000,ZSER,100009,2000,004,2025-04-19,AED,NT45
4500090112,3000,NB,100046,2000,002,2025-11-18,EUR,NT60
4500090113,1000,ZSER,100047,1000,004,2025-05-05,USD,NT60
4500090114,2000,FO,100058,2000,001,2024-07-27,AED,NT45
4500090115,1000,FO,100024,2000,003,2025-08-06,EUR,0001
4500090116,3000,NB,100014,1000,002,2024-03-10,AED,0001
4500090117,2000,NB,100017,2000,002,2025-07-02,USD,NT30
4500090118,1000,ZSER,100029,1000,003,2025-08-01,AED,NT30
4500090119,1000,ZSER,100003,1000,001,2025-10-14,EUR,0001
4500090120,3000,ZSER,100043,1000,002,2024-10-14,EUR,NT30
4500090121,3000,ZSER,100053,2000,004,2025-02-02,AED,NT45
4500090122,1000,FO,100027,2000,003,2024-08-25,USD,NT60
4500090123,1000,ZSER,100050,2000,003,2025-10-11,EUR,NT30
