EBELN,EBELP,MATNR,TXZ01,WERKS,MATKL,MENGE,MEINS,NETPR,PEINH,NETWR
4500090000,00010,MRO-1002,Landing Gear Bushing,1010,MRO,269.28,EA,4056.96,1,1092458.19
4500090001,00010,SERV-6002,Cleaning Service Cycle,2010,SERV,491.94,EA,6460.66,1,3178257.08
4500090001,00020,MRO-1001,Hydraulic Pump Assembly,2010,MRO,334.26,EA,4445.73,1,1486029.71
4500090001,00030,MRO-1002,Landing Gear Bushing,1010,MRO,469.53,EA,1091.64,1,512557.73
4500090002,00010,IT-3001,Ruggedized Laptop,2010,IT,344.06,EA,6826.24,1,2348636.13
4500090002,00020,SPARE-5002,Brake Disc Assembly,1010,SPARE,126.31,EA,7267.11,1,917908.66
4500090002,00030,MRO-1002,Landing Gear Bushing,1010,MRO,317.51,EA,6638.2,1,2107694.88
4500090003,00010,SERV-6001,Ground Handling Labor Hr,2010,SERV,5.83,HR,620.45,1,3617.22
4500090003,00020,FUEL-2001,Jet A-1 Fuel,2010,FUEL,273.25,L,6680.07,1,1825329.13
4500090003,00030,SERV-6001,Ground Handling Labor Hr,1020,SERV,74.9,HR,1037.02,1,77672.8
4500090003,00040,OFFC-4001,Printer Toner Cartridge,1010,OFFC,449.59,EA,6373.06,1,2865264.05
4500090004,00010,IT-3001,Ruggedized Laptop,1010,IT,432.44,EA,7810.12,1,3377408.29
4500090004,00020,SPARE-5001,Turbine Blade Set,1020,SPARE,13.37,EA,5897.78,1,78853.32
4500090005,00010,MRO-1001,Hydraulic Pump Assembly,1020,MRO,429.44,EA,1795.02,1,770853.39
4500090005,00020,OFFC-4001,Printer Toner Cartridge,1010,OFFC,153.29,EA,6366.86,1,975975.97
4500090005,00030,IT-3001,Ruggedized Laptop,1020,IT,12.81,EA,1561.18,1,19998.72
4500090005,00040,IT-3002,Network Switch 24-port,1020,IT,432.31,EA,7735.78,1,3344255.05
4500090006,00010,SERV-6002,Cleaning Service Cycle,1010,SERV,481.3,EA,2138.42,1,1029221.55
4500090006,00020,SERV-6002,Cleaning Service Cycle,1020,SERV,217.85,EA,5833.79,1,1270891.15
