MBLNR,MJAHR,BLDAT,BUDAT
5000000000,2024,2024-05-10,2024-05-10
5000000001,2024,2024-06-09,2024-06-09
5000000002,2024,2024-02-04,2024-02-04
5000000003,2025,2024-03-01,2024-03-03
5000000004,2025,2025-06-16,2025-06-18
5000000005,2024,2024-01-28,2024-01-28
5000000006,2024,2024-07-09,2024-07-09
5000000007,2025,2024-07-02,2024-07-05
5000000008,2024,2024-10-04,2024-10-05
5000000009,2025,2024-02-16,2024-02-19
5000000010,2025,2025-08-03,2025-08-04
5000000011,2025,2025-06-26,2025-06-29
5000000012,2024,2024-03-06,2024-03-07
5000000013,2024,2024-07-31,2024-08-01
5000000014,2025,2024-01-31,2024-02-03
5000000015,2024,2024-04-22,2024-04-23
5000000016,2024,2024-09-10,2024-09-11
5000000017,2025,2024-02-05,2024-02-07
5000000018,2024,2024-03-25,2024-03-25
5000000019,2025,2024-02-03,2024-02-05
5000000020,2025,2024-07-10,2024-07-12
5000000021,2025,2024-03-28,2024-03-28
5000000022,2024,2024-03-13,2024-03-13
5000000023,2024,2025-12-29,2025-12-30
5000000024,2024,2024-12-22,2024-12-23
5000000025,2025,2024-06-14,2024-06-15
5000000026,2025,2024-08-09,2024-08-10
5000000027,2024,2025-10-11,2025-10-12
5000000028,2024,2025-01-13,2025-01-16
5000000029,2024,2024-07-25,2024-07-28
5000000030,2024,2025-11-29,2025-11-29
5000000031,2025,2024-08-21,2024-08-22
5000000032,2025,2024-05-08,2024-05-09
5000000033,2025,2024-06-27,2024-06-27
5000000034,2025,2024-02-01,2024-02-01
5000000035,2025,2024-11-05,2024-11-07
5000000036,2024,2025-05-15,2025-05-16
5000000037,2024,2024-05-31,2024-05-31
5000000038,2024,2024-07-09,2024-07-12
5000000039,2024,2025-07-13,2025-07-16
5000000040,2024,2025-08-18,2025-08-21
5000000041,2025,2025-02-19,2025-02-22
5000000042,2024,2024-07-16,2024-07-16
5000000043,2025,2025-11-11,2025-11-13
5000000044,2025,2025-01-04,2025-01-06
5000000045,2024,2024-03-03,2024-03-04
5000000046,2025,2024-12-21,2024-12-21
5000000047,2025,2024-10-30,2024-10-30
5000000048,2024,2024-05-28,2024-05-28
5000000049,2025,2025-08-27,2025-08-30
5000000050,2024,2024-08-26,2024-08-28
5000000051,2025,2025-07-07,2025-07-08
5000000052,2024,2024-11-26,2024-11-26
5000000053,2025,2025-12-26,2025-12-28
5000000054,2025,2025-10-09,2025-10-09
5000000055,2025,2024-09-23,2024-09-24
5000000056,2024,2025-05-11,2025-05-14
5000000057,2025,2024-09-17,2024-09-19
5000000058,2025,2025-11-10,2025-11-10
5000000059,2024,2025-03-04,2025-03-06
5000000060,2024,2024-08-16,2024-08-19
5000000061,2024,2024-09-03,2024-09-04
5000000062,2024,2025-05-25,2025-05-27
5000000063,2024,2025-06-25,2025-06-27
5000000064,2024,2025-08-31,2025-09-03
5000000065,2024,2024-04-18,2024-04-21
5000000066,2024,2024-09-21,2024-09-24
5000000067,2024,2024-05-03,2024-05-06
5000000068,2024,2024-08-27,2024-08-29
5000000069,2025,2025-05-03,2025-05-05
5000000070,2024,2024-12-30,2024-12-30
5000000071,2025,2025-06-19,2025-06-20
5000000072,2024,2024-08-09,2024-08-11
5000000073,2025,2024-04-20,2024-04-23
5000000074,2024,2024-12-08,2024-12-10
5000000075,2024,2025-05-29,2025-06-01
5000000076,2024,2024-08-05,2024-08-07
5000000077,2025,2025-05-29,2025-05-30
5000000078,2024,2025-10-04,2025-10-06
5000000079,2025,2024-03-28,2024-03-30
5000000080,2024,2025-02-02,2025-02-03
5000000081,2025,2025-01-13,2025-01-14
5000000082,2024,2024-08-25,2024-08-25
5000000083,2025,2025-02-08,2025-02-10
5000000084,2024,2024-08-21,2024-08-23
5000000085,2024,2025-06-09,2025-06-10
5000000086,2024,2025-12-05,2025-12-07
5000000087,2024,2025-11-21,2025-11-24
5000000088,2025,2024-11-25,2024-11-26
5000000089,2024,2025-05-21,2025-05-23
5000000090,2024,2025-01-26,2025-01-27
5000000091,2025,2024-11-10,2024-11-13
5000000092,2025,2025-07-26,2025-07-27
5000000093,2025,2024-09-26,2024-09-26
5000000094,2025,2024-10-24,2024-10-24
5000000095,2025,2025-12-26,2025-12-26
5000000096,2025,2025-11-17,2025-11-17
5000000097,2025,2025-11-12,2025-11-12
5000000098,2025,2025-02-12,2025-02-15
5000000099,2024,2024-11-20,2024-11-21
5000000100,2024,2025-04-07,2025-04-08
5000000101,2025,2025-09-29,2025-09-30
5000000102,2025,2024-09-24,2024-09-26
5000000103,2025,2025-09-29,2025-10-01
5000000104,2025,2025-10-16,2025-10-16
5000000105,2024,2025-06-16,2025-06-17
5000000106,2025,2024-07-01,2024-07-03
5000000107,2025,2024-01-28,2024-01-28
5000000108,2025,2024-11-06,2024-11-08
5000000109,2025,2025-04-22,2025-04-22
5000000110,2024,2025-09-22,2025-09-22
5000000111,2025,2025-06-26,2025-06-27
5000000112,2024,2024-03-10,2024-03-10
5000000113,2025,2025-04-03,2025-04-05
5000000114,2025,2025-03-12,2025-03-13
5000000115,2024,2025-04-23,2025-04-26
5000000116,2024,2024-06-13,2024-06-13
5000000117,2025,2025-10-16,2025-10-18
5000000118,2025,2024-02-03,2024-02-05
5000000119,2025,2025-04-07,2025-04-08
5000000120,2024,2025-08-20,2025-08-22
5000000121,2024,2025-09-05,2025-09-08
5000000122,2025,2024-12-05,2024-12-08
5000000123,2024,2024-11-02,2024-11-05
5000000124,2025,2024-02-02,2024-02-04
5000000125,2024,2025-10-06,2025-10-07
5000000126,2024,2024-07-07,2024-07-08
5000000127,2024,2024-11-27,2024-11-27
5000000128,2024,2025-09-03,2025-09-05
5000000129,2024,2025-10-09,2025-10-10
5000000130,2024,2024-12-21,2024-12-22
5000000131,2025,2024-11-25,2024-11-25
5000000132,2025,2025-05-23,2025-05-25
5000000133,2025,2025-09-16,2025-09-16
5000000134,2025,2025-02-02,2025-02-02
5000000135,2024,2025-11-19,2025-11-21
5000000136,2024,2025-06-05,2025-06-07
5000000137,2024,2025-08-06,2025-08-06
5000000138,2024,2024-05-03,2024-05-03
5000000139,2025,2025-11-29,2025-12-02
5000000140,2024,2025-01-08,2025-01-08
5000000141,2024,2025-09-07,2025-09-09
5000000142,2025,2025-08-20,2025-08-21
5000000143,2025,2025-02-01,2025-02-03
5000000144,2025,2024-12-28,2024-12-28
5000000145,2024,2025-04-25,2025-04-26
5000000146,2024,2025-06-08,2025-06-10
5000000147,2025,2024-03-31,2024-03-31
5000000148,2024,2025-11-15,2025-11-16
5000000149,2024,2025-10-06,2025-10-09
5000000150,2024,2025-05-11,2025-05-14
5000000151,2025,2024-03-11,2024-03-12
5000000152,2025,2024-09-01,2024-09-03
5000000153,2024,2024-09-18,2024-09-20
5000000154,2025,2025-08-28,2025-08-28
5000000155,2025,2024-06-17,2024-06-18
5000000156,2025,2024-04-07,2024-04-08
5000000157,2025,2025-04-29,2025-04-30
5000000158,2025,2024-08-26,2024-08-29
5000000159,2025,2025-07-20,2025-07-22
5000000160,2024,2024-02-14,2024-02-15
5000000161,2024,2025-10-13,2025-10-15
5000000162,2025,2024-04-12,2024-04-12
5000000163,2025,2025-12-06,2025-12-08
5000000164,2025,2025-06-23,2025-06-25
5000000165,2024,2024-10-28,2024-10-31
5000000166,2024,2024-11-09,2024-11-10
5000000167,2024,2024-10-17,2024-10-19
5000000168,2025,2024-06-12,2024-06-14
5000000169,2025,2025-02-07,2025-02-09
5000000170,2024,2024-03-25,2024-03-28
5000000171,2024,2024-08-12,2024-08-13
5000000172,2025,2024-09-14,2024-09-15
5000000173,2025,2025-06-23,2025-06-24
5000000174,2024,2024-10-31,2024-10-31
5000000175,2025,2025-09-10,2025-09-13
5000000176,2024,2025-06-26,2025-06-27
5000000177,2025,2024-10-14,2024-10-16
5000000178,2025,2025-07-31,2025-07-31
5000000179,2024,2024-05-18,2024-05-18
