MBLNR,MJAHR,ZEILE,BWART,MATNR,MENGE,MEINS,WERKS,LIFNR,EBELN,EBELP
5000000000,2024,0001,101,SPARE-5001,1.7,EA,1020,100009,4500090495,00020
5000000000,2024,0002,261,SPARE-5001,81.76,EA,1020,100009,4500090495,00020
5000000001,2024,0001,101,MRO-1001,145.11,EA,2010,100055,4500090520,00040
5000000001,2024,0002,102,MRO-1001,84.46,EA,2010,100055,4500090520,00040
5000000001,2024,0003,102,MRO-1001,90.83,EA,1010,100055,4500090520,00040
5000000002,2024,0001,101,SERV-6001,198.27,HR,1010,100046,4500091441,00010
5000000002,2024,0002,261,SERV-6001,115.02,HR,1020,100046,4500091441,00010
5000000002,2024,0003,261,SERV-6001,168.05,HR,2010,100046,4500091441,00010
5000000003,2025,0001,101,OFFC-4001,85.07,EA,1020,100057,4500090632,00010
5000000003,2025,0002,101,OFFC-4001,80.0,EA,2010,100057,4500090632,00010
5000000003,2025,0003,102,OFFC-4001,182.17,EA,1010,100057,4500090632,00010
5000000004,2025,0001,261,MRO-1001,70.9,EA,1010,100031,4500091097,00010
5000000004,2025,0002,102,MRO-1001,50.76,EA,1020,100031,4500091097,00010
5000000005,2024,0001,101,SERV-6002,7.6,EA,2010,100014,4500090234,00020
5000000005,2024,0002,102,SERV-6002,98.84,EA,2010,100014,4500090234,00020
5000000005,2024,0003,101,SERV-6002,60.2,EA,1020,100014,4500090234,00020
5000000006,2024,0001,101,SERV-6001,139.61,HR,1020,100037,4500090464,00020
5000000006,2024,0002,102,SERV-6001,25.8,HR,1020,100037,4500090464,00020
5000000007,2025,0001,102,MRO-1001,105.08,EA,1020,100053,4500091547,00010
5000000008,2024,0001,101,OFFC-4001,36.72,EA,1020,100001,4500090750,00030
5000000008,2024,0002,101,OFFC-4001,180.51,EA,1010,100001,4500090750,00030
5000000009,2025,0001,101,MRO-1002,34.03,EA,2010,100044,4500090254,00020
5000000009,2025,0002,102,MRO-1002,51.51,EA,2010,100044,4500090254,00020
5000000010,2025,0001,102,OFFC-4001,97.84,EA,1020,100056,4500091088,00010
5000000010,2025,0002,101,OFFC-4001,108.61,EA,1020,100056,4500091088,00010
5000000010,2025,0003,101,OFFC-4001,17.33,EA,1020,100056,4500091088,00010
5000000011,2025,0001,261,SERV-6002,152.83,EA,2010,100001,4500091541,00010
5000000012,2024,0001,261,IT-3002,70.66,EA,2010,100035,4500090188,00020
5000000013,2024,0001,101,IT-3002,30.44,EA,1020,100002,4500091897,00010
5000000013,2024,0002,102,IT-3002,67.75,EA,1020,100002,4500091897,00010
5000000014,2025,0001,101,SPARE-5001,126.21,EA,1020,100024,4500090928,00010
5000000014,2025,0002,102,SPARE-5001,110.5,EA,2010,100024,4500090928,00010
5000000014,2025,0003,102,SPARE-5001,110.23,EA,1020,100024,4500090928,00010
5000000015,2024,0001,101,IT-3001,79.81,EA,2010,100009,4500090111,00010
5000000015,2024,0002,102,IT-3001,65.65,EA,1020,100009,4500090111,00010
5000000016,2024,0001,261,SPARE-5001,114.59,EA,1010,100047,4500090421,00030
5000000016,2024,0002,101,SPARE-5001,25.03,EA,1020,100047,4500090421,00030
5000000016,2024,0003,261,SPARE-5001,76.79,EA,2010,100047,4500090421,00030
5000000017,2025,0001,261,OFFC-4001,76.63,EA,1010,100042,4500091260,00020
5000000017,2025,0002,101,OFFC-4001,193.07,EA,1020,100042,4500091260,00020
5000000018,2024,0001,101,SPARE-5002,98.37,EA,1010,100020,4500091200,00020
5000000018,2024,0002,101,SPARE-5002,123.97,EA,1020,100020,4500091200,00020
5000000019,2025,0001,101,OFFC-4001,64.96,EA,1010,100001,4500091499,00020
5000000020,2025,0001,261,OFFC-4001,54.44,EA,1020,100011,4500090759,00040
5000000020,2025,0002,102,OFFC-4001,2.91,EA,2010,100011,4500090759,00040
5000000021,2025,0001,102,SERV-6001,150.79,HR,2010,100026,4500091164,00020
5000000021,2025,0002,101,SERV-6001,36.01,HR,1010,100026,4500091164,00020
5000000022,2024,0001,102,SPARE-5002,102.23,EA,1010,100024,4500091319,00010
5000000023,2024,0001,102,SPARE-5002,36.53,EA,2010,100003,4500090581,00030
5000000023,2024,0002,101,SPARE-5002,81.68,EA,1020,100003,4500090581,00030
5000000023,2024,0003,101,SPARE-5002,152.79,EA,1010,100003,4500090581,00030
5000000024,2024,0001,102,SPARE-5002,15.07,EA,1020,100059,4500091983,00020
5000000024,2024,0002,102,SPARE-5002,158.34,EA,1020,100059,4500091983,00020
5000000024,2024,0003,102,SPARE-5002,18.24,EA,1020,100059,4500091983,00020
5000000025,2025,0001,102,MRO-1001,172.7,EA,1020,100007,4500091222,00030
5000000025,2025,0002,261,MRO-1001,179.73,EA,2010,100007,4500091222,00030
5000000025,2025,0003,101,MRO-1001,87.76,EA,1010,100007,4500091222,00030
5000000026,2025,0001,102,MRO-1001,10.48,EA,1010,100034,4500091632,00040
5000000026,2025,0002,261,MRO-1001,162.91,EA,1010,100034,4500091632,00040
5000000026,2025,0003,102,MRO-1001,102.74,EA,1020,100034,4500091632,00040
5000000027,2024,0001,102,OFFC-4001,104.97,EA,1020,100010,4500090358,00020
5000000027,2024,0002,261,OFFC-4001,104.02,EA,2010,100010,4500090358,00020
5000000028,2024,0001,101,OFFC-4001,11.12,EA,1010,100005,4500090071,00030
5000000028,2024,0002,101,OFFC-4001,162.5,EA,1020,100005,4500090071,00030
5000000029,2024,0001,101,SPARE-5001,56.9,EA,1010,100053,4500091191,00010
5000000029,2024,0002,261,SPARE-5001,31.92,EA,1010,100053,4500091191,00010
5000000029,2024,0003,101,SPARE-5001,179.06,EA,1020,100053,4500091191,00010
5000000030,2024,0001,102,MRO-1002,58.45,EA,1010,100003,4500090281,00010
5000000031,2025,0001,101,MRO-1001,137.36,EA,2010,100000,4500091630,00020
5000000031,2025,0002,261,MRO-1001,101.16,EA,1020,100000,4500091630,00020
5000000031,2025,0003,261,MRO-1001,66.22,EA,1010,100000,4500091630,00020
5000000032,2025,0001,261,MRO-1002,152.41,EA,1020,100000,4500091630,00010
5000000032,2025,0002,261,MRO-1002,115.25,EA,2010,100000,4500091630,00010
5000000032,2025,0003,101,MRO-1002,29.12,EA,1020,100000,4500091630,00010
